food;wine;Merchandise;Artikel;WGR;WGR_TEXT;Bontext_German;Bontext_English;origin_country_code;origin_country_ISOCODE;origin_country_tarif_no;purchase_price;sale_price;quantity;Artikelgewicht;Positionsgewicht;0;ean;pwert_end;3;4õûÕÛ
NO;NO;NO;10197643;1;Sortiment;GRAPEVINE Burgunderglas 640ml;GRAPEVINE burgundy glass 640ml;4;DE;70132290;1,53;3,99;6;0,24;1,44;;4035644945000;9,18;;
NO;NO;NO;10197644;1;Sortiment;GRAPEVINE Rotweinglas 630ml;GRAPEVINE red wine glass 630ml;4;DE;70132290;1,53;3,99;12;0,22;2,64;;4035644945017;18,36;;
NO;NO;NO;10197645;1;Sortiment;GRAPEVINE Weißweinglas 440ml;GRAPEVINE white wine glass 440ml;4;DE;70132290;1,51;3,99;36;0,21;7,56;;4035644945024;54,36;;
NO;NO;NO;10197646;1;Sortiment;GRAPEVINE Champagnerflöte 240ml;GRAPEVINE champagne flute 240ml;4;DE;70132290;1,4;3,99;6;0,17;1,02;;4035644945031;8,4;;
NO;NO;NO;10198271;1;Sortiment;"MEMORIES Rahmen 13x18 ""Patchwork Family""";"MEMORIES frame 13x18 ""Patchwork Family""";720;CN;44140090;1,41;2,99;6;0,57;3,42;;4035644929390;8,46;;
NO;NO;NO;10198533;1;Sortiment;CAIPIRINHA DO BRAZIL Holzstößel;CAIPIRINHA DO BRAZIL grinder;60;PL;44190090;0,82;2,99;12;0,07;0,84;;4035644954002;9,84;;
NO;NO;NO;10198899;3;Möbel;COPPERFIELD Stuhl anthrazit;COPPERFIELD Chair Anthracite;60;PL;94016100;23,56;49,9;2;7,5;15;;4035644957843;47,12;;
NO;NO;NO;10199274;1;Sortiment;JOURNAL Notizbuch A5 Äpfel;JOURNAL Notebook A5 Apples;720;CN;48201030;1,27;5,99;6;0,33;1,98;;4035644961017;7,62;;
NO;NO;NO;10200320;1;Sortiment;BEL & BIEN Türstopper Schnecke Keramik;BEL & BIEN doorstop snail ceramic;664;IN;44209099;1,79;7,99;4;0,31;1,24;;4035644971252;7,16;;
NO;NO;NO;10200399;2;Textilien;MANDALA Tischl. 150x50;MANDALA TR 150x50;720;CN;63025100;3,68;12,9;4;0,01;0,04;;4035644972310;14,72;;
NO;NO;NO;10200400;2;Textilien;MANDALA Tischl. 250x50;MANDALA TR 250x50;720;CN;63025100;6,11;14,9;4;0,01;0,04;;4035644972327;24,44;;
NO;NO;NO;10200402;1;Sortiment;RETRO Kaffeetasse orange gemustert;RETRO mug w. handle pattern orange;720;CN;69120050;0,83;3,99;12;0,3;3,6;;4035644971696;9,96;;
NO;NO;NO;10200410;1;Sortiment;RETRO Müslischale orange gemustert;RETRO cereal bowl pattern orange;720;CN;69120050;0,69;3,99;12;0,22;2,64;;4035644971771;8,28;;
NO;NO;NO;10200412;1;Sortiment;RETRO Müslischale blau gemustert;RETRO cereal bowl pattern blue;720;CN;69120050;0,69;3,99;12;0,26;3,12;;4035644971795;8,28;;
NO;NO;NO;10200413;1;Sortiment;RETRO Müslischale grün gemustert;RETRO cereal bowl pattern green;720;CN;69120050;0,69;3,99;12;0,26;3,12;;4035644971801;8,28;;
NO;NO;NO;10200607;1;Sortiment;BLACK & WHITE Tablett Streif. schw.-weiß;BLACK & WHITE tray stripes black/white;720;CN;39241000;3,15;14,9;6;0,87;5,22;;4035644974451;18,9;;
NO;NO;NO;10200608;1;Sortiment;BLACK & WHITE Tablett Kreise schw.-weiß;BLACK & WHITE tray circles black/white;720;CN;39241000;3,15;14,9;6;0,87;5,22;;4035644974468;18,9;;
NO;NO;NO;10200721;1;Sortiment;BREAD N' BUTTER Frühstücksb. Sechseck;BREAD N' BUTTER breakfast b. hexagon;4;DE;39241000;1,24;4,99;10;0,1;1;;4035644974024;12,4;;
NO;NO;NO;10200722;1;Sortiment;BREAD N' BUTTER Frühstücksb. Hahnentritt;BREAD N' BUTTER breakfast b. houndstooth;4;DE;39241000;1,24;4,99;10;0,1;1;;4035644974031;12,4;;
NO;NO;NO;10200723;1;Sortiment;BREAD N' BUTTER Frühstücksb. Punkte;BREAD N' BUTTER breakfast b. dots;4;DE;39241000;1,24;4,99;10;0,1;1;;4035644974048;12,4;;
NO;NO;NO;10200724;1;Sortiment;BLACK & WHITE Kaffeedose Streifen schmal;BLACK & WHITE coffee tin box stripes nar;720;CN;73239900;1,15;7,99;12;0,24;2,88;;4035644974277;13,8;;
NO;NO;NO;10200725;1;Sortiment;BLACK & WHITE Kaffeedose Punkte;BLACK & WHITE coffee tin box dots;720;CN;73239900;1,15;7,99;12;0,24;2,88;;4035644974284;13,8;;
NO;NO;NO;10200726;1;Sortiment;BLACK & WHITE Kaffeedose Streifen breit;BLACK & WHITE coffee tin box stripes wid;720;CN;73239900;1,15;7,99;12;0,24;2,88;;4035644974291;13,8;;
NO;NO;NO;10200746;2;Textilien;BLACK & WHITE Serv. Punkte 45x45;BLACK & WHITE NP Dots 45x45;664;IN;63025100;0,58;2,99;10;0,05;0,5;;4035644974123;5,8;;
NO;NO;NO;10200748;2;Textilien;BLACK & WHITE Serv. Streifen (breit) 45x;BLACK & WHITE NP Stripes (large) 45x45;664;IN;63025100;0,51;2,99;10;0,05;0,5;;4035644974147;5,1;;
NO;NO;NO;10200749;2;Textilien;BLACK & WHITE Stoffcontainer Streifen;BLACK & WHITE Fabric container Stripes;664;IN;63079010;1,63;6,99;12;0;0;;4035644974154;19,56;;
NO;NO;NO;10200750;2;Textilien;BLACK & WHITE TD Punkte 140x140;BLACK & WHITE TC Dots 140x140;664;IN;63025100;5,22;19,9;8;0;0;;4035644974161;41,76;;
NO;NO;NO;10200751;2;Textilien;BLACK & WHITE TD Punkte 250x150;BLACK & WHITE TC Dots 250x150;664;IN;63025100;8;39,9;4;0;0;;4035644974178;32;;
NO;NO;NO;10200752;2;Textilien;BLACK & WHITE Tragetasche Hahnentritt;BLACK & WHITE Shopping bag Houndstooth;664;IN;42029298;2,35;9,99;10;0;0;;4035644974185;23,5;;
NO;NO;NO;10200754;2;Textilien;BLACK & WHITE Tragetasche Punkte;BLACK & WHITE Shopping bag Dots;664;IN;42029298;2,69;9,99;10;0;0;;4035644974208;26,9;;
